dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,As of Population,Change in Cases,Change in Deaths,Measures,sweden Cases Change,Projected Population ,sweden cases
2020-11-22,22,11,2020,19875,340,United_Kingdom,UK,GBR,66647112,Europe,483.0546896,0.000298212,1213,215,Lockdown,-45,19830,0
2020-11-21,21,11,2020,20252,511,United_Kingdom,UK,GBR,66647112,Europe,490.6799262,0.000303869,377,171,Lockdown,0,20252,0
2020-11-20,20,11,2020,22915,501,United_Kingdom,UK,GBR,66647112,Europe,495.233762,0.000343826,2663,-10,Lockdown,0,22915,0
2020-11-19,19,11,2020,19609,529,United_Kingdom,UK,GBR,66647112,Europe,497.0688002,0.000294221,-3306,28,Lockdown,0,19609,0
2020-11-18,18,11,2020,20051,598,United_Kingdom,UK,GBR,66647112,Europe,505.4232508,0.000300853,442,69,Lockdown,0,20051,0
2020-11-17,17,11,2020,21363,213,United_Kingdom,UK,GBR,66647112,Europe,505.3737362,0.000320539,1312,-385,Lockdown,-17,21346,0
2020-11-16,16,11,2020,24962,168,United_Kingdom,UK,GBR,66647112,Europe,501.7531742,0.00037454,3599,-45,Lockdown,65,25027,0
2020-11-15,15,11,2020,26860,462,United_Kingdom,UK,GBR,66647112,Europe,499.1904225,0.000403018,1898,294,Lockdown,0,26860,0
2020-11-14,14,11,2020,27301,376,United_Kingdom,UK,GBR,66647112,Europe,491.7707462,0.000409635,441,-86,Lockdown,17,27318,0
2020-11-13,13,11,2020,33470,563,United_Kingdom,UK,GBR,66647112,Europe,487.4254716,0.000502197,6169,187,Lockdown,0,33470,0
2020-11-12,12,11,2020,22950,595,United_Kingdom,UK,GBR,66647112,Europe,471.8133923,0.000344351,-10520,32,Lockdown,0,22950,0
2020-11-11,11,11,2020,20412,532,United_Kingdom,UK,GBR,66647112,Europe,474.4391625,0.00030627,-2538,-63,Lockdown,0,20412,0
2020-11-10,10,11,2020,21350,194,United_Kingdom,UK,GBR,66647112,Europe,478.1497509,0.000320344,938,-338,Lockdown,-9,21341,0
2020-11-09,9,11,2020,20572,156,United_Kingdom,UK,GBR,66647112,Europe,477.4595484,0.000308671,-778,-38,Lockdown,73,20645,0
2020-11-08,8,11,2020,24957,413,United_Kingdom,UK,GBR,66647112,Europe,476.2862043,0.000374465,4385,257,Lockdown,1,24958,0
2020-11-07,7,11,2020,23287,355,United_Kingdom,UK,GBR,66647112,Europe,473.3678483,0.000349407,-1670,-58,Lockdown,13,23300,0
2020-11-06,6,11,2020,24138,378,United_Kingdom,UK,GBR,66647112,Europe,469.2326353,0.000362176,851,23,Lockdown,8,24146,0
2020-11-05,5,11,2020,25177,492,United_Kingdom,UK,GBR,66647112,Europe,464.881359,0.000377766,1039,114,Lockdown,0,25177,0
2020-11-04,4,11,2020,20018,397,United_Kingdom,UK,GBR,66647112,Europe,467.1470236,0.000300358,-5159,-95,Social Distancing and Wearing Masks Enforced,-3,20015,0
2020-11-03,3,11,2020,18950,136,United_Kingdom,UK,GBR,66647112,Europe,469.115601,0.000284333,-1068,-261,Social Distancing and Wearing Masks Enforced,-162,18788,1
2020-11-02,2,11,2020,23254,162,United_Kingdom,UK,GBR,66647112,Europe,468.8950363,0.000348912,4304,26,Social Distancing and Wearing Masks Enforced,-144,23110,0
2020-11-01,1,11,2020,21915,326,United_Kingdom,UK,GBR,66647112,Europe,459.4827755,0.000328821,-1339,164,Social Distancing and Wearing Masks Enforced,-81,21834,0
2020-10-31,31,10,2020,24405,274,United_Kingdom,UK,GBR,66647112,Europe,450.8642475,0.000366182,2490,-52,Social Distancing and Wearing Masks Enforced,-18,24387,0
2020-10-30,30,10,2020,23065,280,United_Kingdom,UK,GBR,66647112,Europe,437.7053877,0.000346077,-1340,6,Social Distancing and Wearing Masks Enforced,37,23102,0
2020-10-29,29,10,2020,24700,310,United_Kingdom,UK,GBR,66647112,Europe,431.573089,0.000370609,1635,30,Social Distancing and Wearing Masks Enforced,14,24714,0
2020-10-28,28,10,2020,22885,367,United_Kingdom,UK,GBR,66647112,Europe,424.106899,0.000343376,-1815,57,Social Distancing and Wearing Masks Enforced,34,22919,0
2020-10-27,27,10,2020,20890,102,United_Kingdom,UK,GBR,66647112,Europe,415.6249111,0.000313442,-1995,-265,Social Distancing and Wearing Masks Enforced,-230,20660,0
2020-10-26,26,10,2020,19790,151,United_Kingdom,UK,GBR,66647112,Europe,405.2448664,0.000296937,-1100,49,Social Distancing and Wearing Masks Enforced,15,19805,0
2020-10-25,25,10,2020,23012,174,United_Kingdom,UK,GBR,66647112,Europe,394.8648218,0.000345281,3222,23,Social Distancing and Wearing Masks Enforced,19,23031,0
2020-10-24,24,10,2020,20531,224,United_Kingdom,UK,GBR,66647112,Europe,383.0908682,0.000308055,-2481,50,Social Distancing and Wearing Masks Enforced,11,20542,0
2020-10-23,23,10,2020,21238,189,United_Kingdom,UK,GBR,66647112,Europe,373.087434,0.000318663,707,-35,Social Distancing and Wearing Masks Enforced,-27,21211,0
2020-10-22,22,10,2020,26687,191,United_Kingdom,UK,GBR,66647112,Europe,367.5388065,0.000400422,5449,2,Social Distancing and Wearing Masks Enforced,-191,26496,0
2020-10-21,21,10,2020,21330,241,United_Kingdom,UK,GBR,66647112,Europe,348.7457941,0.000320044,-5357,50,Social Distancing and Wearing Masks Enforced,136,21466,0
2020-10-20,20,10,2020,18803,80,United_Kingdom,UK,GBR,66647112,Europe,338.5608067,0.000282128,-2527,-161,Social Distancing and Wearing Masks Enforced,236,19039,0
2020-10-19,19,10,2020,16981,67,United_Kingdom,UK,GBR,66647112,Europe,329.2430736,0.00025479,-1822,-13,Social Distancing and Wearing Masks Enforced,-1,16980,0
2020-10-18,18,10,2020,16171,150,United_Kingdom,UK,GBR,66647112,Europe,338.2157054,0.000242636,-810,83,Social Distancing and Wearing Masks Enforced,36,16207,0
2020-10-17,17,10,2020,15635,136,United_Kingdom,UK,GBR,66647112,Europe,333.2642531,0.000234594,-536,-14,Social Distancing and Wearing Masks Enforced,-104,15531,0
2020-10-16,16,10,2020,18978,138,United_Kingdom,UK,GBR,66647112,Europe,320.2599387,0.000284754,3343,2,Social Distancing and Wearing Masks Enforced,179,19157,0
2020-10-15,15,10,2020,19724,137,United_Kingdom,UK,GBR,66647112,Europe,302.1586292,0.000295947,746,-1,Social Distancing and Wearing Masks Enforced,56,19780,0
2020-10-14,14,10,2020,17232,143,United_Kingdom,UK,GBR,66647112,Europe,283.2290768,0.000258556,-2492,6,Social Distancing and Wearing Masks Enforced,-173,17059,0
2020-10-13,13,10,2020,13972,50,United_Kingdom,UK,GBR,66647112,Europe,268.0911365,0.000209641,-3260,-93,Social Distancing and Wearing Masks Enforced,500,14472,0
2020-10-12,12,10,2020,12872,65,United_Kingdom,UK,GBR,66647112,Europe,253.1947671,0.000193137,-1100,15,Social Distancing and Wearing Masks Enforced,252,13124,1
2020-10-11,11,10,2020,15165,81,United_Kingdom,UK,GBR,66647112,Europe,242.4216071,0.000227542,2293,16,Social Distancing and Wearing Masks Enforced,171,15336,1
2020-10-10,10,10,2020,13864,87,United_Kingdom,UK,GBR,66647112,Europe,228.7315916,0.000208021,-1301,6,Social Distancing and Wearing Masks Enforced,-41,13823,8
2020-10-09,9,10,2020,17540,77,United_Kingdom,UK,GBR,66647112,Europe,218.2420148,0.000263177,3676,-10,Social Distancing and Wearing Masks Enforced,142,17682,3
2020-10-08,8,10,2020,14162,70,United_Kingdom,UK,GBR,66647112,Europe,201.8782149,0.000212492,-3378,-7,Social Distancing and Wearing Masks Enforced,-26,14136,0
2020-10-07,7,10,2020,14542,76,United_Kingdom,UK,GBR,66647112,Europe,189.8987011,0.000218194,380,6,Social Distancing and Wearing Masks Enforced,-78,14464,5
2020-10-06,6,10,2020,12593,19,United_Kingdom,UK,GBR,66647112,Europe,175.470469,0.00018895,-1949,-57,Social Distancing and Wearing Masks Enforced,95,12688,13
2020-10-05,5,10,2020,22961,33,United_Kingdom,UK,GBR,66647112,Europe,163.1293491,0.000344516,10368,14,Social Distancing and Wearing Masks Enforced,-449,22512,30
2020-10-04,4,10,2020,12871,49,United_Kingdom,UK,GBR,66647112,Europe,134.5279597,0.000193122,-10090,16,Social Distancing and Wearing Masks Enforced,-144,12727,25
2020-10-03,3,10,2020,6968,66,United_Kingdom,UK,GBR,66647112,Europe,121.8507413,0.000104551,-5903,17,Social Distancing and Wearing Masks Enforced,383,7351,59
2020-10-02,2,10,2020,6914,59,United_Kingdom,UK,GBR,66647112,Europe,117.8805767,0.00010374,-54,-7,Social Distancing and Wearing Masks Enforced,-7,6907,33
2020-10-01,1,10,2020,7108,71,United_Kingdom,UK,GBR,66647112,Europe,112.600528,0.000106651,194,12,Social Distancing and Wearing Masks Enforced,281,7389,46
2020-09-30,30,9,2020,7143,71,United_Kingdom,UK,GBR,66647112,Europe,107.9236562,0.000107176,35,0,Social Distancing and Wearing Masks Enforced,255,7398,101
2020-09-29,29,9,2020,4044,13,United_Kingdom,UK,GBR,66647112,Europe,101.8618781,6.06778E-05,-3099,-58,Social Distancing and Wearing Masks Enforced,221,4265,98
2020-09-28,28,9,2020,5692,17,United_Kingdom,UK,GBR,66647112,Europe,99.72675185,8.54051E-05,1648,4,Social Distancing and Wearing Masks Enforced,1,5693,196
2020-09-27,27,9,2020,6041,35,United_Kingdom,UK,GBR,66647112,Europe,96.18271231,9.06416E-05,349,18,Social Distancing and Wearing Masks Enforced,479,6520,151
2020-09-26,26,9,2020,6873,34,United_Kingdom,UK,GBR,66647112,Europe,92.36559268,0.000103125,832,-1,Social Distancing and Wearing Masks Enforced,509,7382,152
2020-09-25,25,9,2020,6634,40,United_Kingdom,UK,GBR,66647112,Europe,87.36312535,9.95392E-05,-239,6,Social Distancing and Wearing Masks Enforced,248,6882,71
2020-09-24,24,9,2020,6178,37,United_Kingdom,UK,GBR,66647112,Europe,81.78899035,9.26972E-05,-456,-3,Social Distancing and Wearing Masks Enforced,-285,5893,69
2020-09-23,23,9,2020,4926,37,United_Kingdom,UK,GBR,66647112,Europe,76.5089416,7.39117E-05,-1252,0,Social Distancing and Wearing Masks Enforced,-511,4415,83
2020-09-22,22,9,2020,4368,11,United_Kingdom,UK,GBR,66647112,Europe,72.80885629,6.55392E-05,-558,-26,Social Distancing and Wearing Masks Enforced,-18,4350,119
2020-09-21,21,9,2020,3899,18,United_Kingdom,UK,GBR,66647112,Europe,70.67823134,5.85022E-05,-469,7,Social Distancing and Wearing Masks Enforced,42,3941,145
2020-09-20,20,9,2020,4422,27,United_Kingdom,UK,GBR,66647112,Europe,69.3113304,6.63495E-05,523,9,Social Distancing and Wearing Masks Enforced,-64,4358,143
2020-09-19,19,9,2020,4322,27,United_Kingdom,UK,GBR,66647112,Europe,65.39668215,6.4849E-05,-100,0,Social Distancing and Wearing Masks Enforced,27,4349,180
2020-09-18,18,9,2020,3395,21,United_Kingdom,UK,GBR,66647112,Europe,61.82263381,5.09399E-05,-927,-6,Social Distancing and Wearing Masks Enforced,-25,3370,136
2020-09-17,17,9,2020,3991,20,United_Kingdom,UK,GBR,66647112,Europe,59.33190323,5.98826E-05,596,-1,Social Distancing and Wearing Masks Enforced,-93,3898,118
2020-09-16,16,9,2020,3103,27,United_Kingdom,UK,GBR,66647112,Europe,55.60631044,4.65587E-05,-888,7,Social Distancing and Wearing Masks Enforced,255,3358,182
2020-09-15,15,9,2020,2621,9,United_Kingdom,UK,GBR,66647112,Europe,52.89351473,3.93265E-05,-482,-18,Social Distancing and Wearing Masks Enforced,-23,2598,230
2020-09-14,14,9,2020,3330,5,United_Kingdom,UK,GBR,66647112,Europe,51.07047999,4.99647E-05,709,-4,Social Distancing and Wearing Masks Enforced,51,3381,314
2020-09-13,13,9,2020,3497,9,United_Kingdom,UK,GBR,66647112,Europe,48.64726922,5.24704E-05,167,4,Social Distancing and Wearing Masks Enforced,-48,3449,286
2020-09-12,12,9,2020,3539,6,United_Kingdom,UK,GBR,66647112,Europe,45.0627178,5.31006E-05,42,-3,Social Distancing and Wearing Masks Enforced,-91,3448,365
2020-09-11,11,9,2020,2919,14,United_Kingdom,UK,GBR,66647112,Europe,41.66722183,4.37978E-05,-620,8,Social Distancing and Wearing Masks Enforced,2,2921,300
2020-09-10,10,9,2020,2659,8,United_Kingdom,UK,GBR,66647112,Europe,39.571107,3.98967E-05,-260,-6,Social Distancing and Wearing Masks Enforced,73,2732,280
2020-09-09,9,9,2020,2460,32,United_Kingdom,UK,GBR,66647112,Europe,37.15389798,3.69108E-05,-199,24,Social Distancing and Wearing Masks Enforced,-340,2120,416
2020-09-08,8,9,2020,2948,3,United_Kingdom,UK,GBR,66647112,Europe,35.2393364,4.4233E-05,488,-29,Social Distancing and Wearing Masks Enforced,114,3062,475
2020-09-07,7,9,2020,2988,2,United_Kingdom,UK,GBR,66647112,Europe,32.27446675,4.48332E-05,40,-1,Social Distancing and Wearing Masks Enforced,-146,2842,486
2020-09-06,6,9,2020,1813,12,United_Kingdom,UK,GBR,66647112,Europe,29.35310985,2.7203E-05,-1175,10,Social Distancing and Wearing Masks Enforced,-118,1695,554
2020-09-05,5,9,2020,1940,10,United_Kingdom,UK,GBR,66647112,Europe,28.5653788,2.91085E-05,127,-2,Social Distancing and Wearing Masks Enforced,117,2057,601
2020-09-04,4,9,2020,1735,13,United_Kingdom,UK,GBR,66647112,Europe,27.20447962,2.60326E-05,-205,3,Social Distancing and Wearing Masks Enforced,26,1761,357
2020-09-03,3,9,2020,1508,10,United_Kingdom,UK,GBR,66647112,Europe,26.37473624,2.26266E-05,-227,-3,Social Distancing and Wearing Masks Enforced,48,1556,340
2020-09-02,2,9,2020,1295,3,United_Kingdom,UK,GBR,66647112,Europe,25.33042992,1.94307E-05,-213,-7,Social Distancing and Wearing Masks Enforced,72,1367,389
2020-09-01,1,9,2020,1406,2,United_Kingdom,UK,GBR,66647112,Europe,25.02133926,2.10962E-05,111,-1,Social Distancing and Wearing Masks Enforced,133,1539,738
2020-08-31,31,8,2020,1715,1,United_Kingdom,UK,GBR,66647112,Europe,23.98153426,2.57325E-05,309,-1,Social Distancing and Wearing Masks Enforced,-13,1702,654
2020-08-30,30,8,2020,1108,12,United_Kingdom,UK,GBR,66647112,Europe,22.96873719,1.66249E-05,-607,11,Social Distancing and Wearing Masks Enforced,-163,945,645
2020-08-29,29,8,2020,1276,9,United_Kingdom,UK,GBR,66647112,Europe,22.92222355,1.91456E-05,168,-3,Social Distancing and Wearing Masks Enforced,-83,1193,454
2020-08-28,28,8,2020,1522,12,United_Kingdom,UK,GBR,66647112,Europe,23.16829572,2.28367E-05,246,3,Social Distancing and Wearing Masks Enforced,111,1633,395
2020-08-27,27,8,2020,1048,16,United_Kingdom,UK,GBR,66647112,Europe,22.57862276,1.57246E-05,-474,4,Social Distancing and Wearing Masks Enforced,127,1175,464
2020-08-26,26,8,2020,1184,16,United_Kingdom,UK,GBR,66647112,Europe,22.5201056,1.77652E-05,136,0,Social Distancing and Wearing Masks Enforced,168,1352,437
2020-08-25,25,8,2020,972,4,United_Kingdom,UK,GBR,66647112,Europe,22.46608975,1.45843E-05,-212,-12,Social Distancing and Wearing Masks Enforced,-85,887,479
2020-08-24,24,8,2020,1041,6,United_Kingdom,UK,GBR,66647112,Europe,22.2320211,1.56196E-05,69,2,Social Distancing and Wearing Masks Enforced,-104,937,604
2020-08-23,23,8,2020,1288,18,United_Kingdom,UK,GBR,66647112,Europe,22.26353034,1.93257E-05,247,12,Social Distancing and Wearing Masks Enforced,-124,1164,623
2020-08-22,22,8,2020,1033,2,United_Kingdom,UK,GBR,66647112,Europe,21.46829708,1.54995E-05,-255,-16,Social Distancing and Wearing Masks Enforced,172,1205,688
2020-08-21,21,8,2020,1182,6,United_Kingdom,UK,GBR,66647112,Europe,21.22522578,1.77352E-05,149,4,Social Distancing and Wearing Masks Enforced,118,1300,532
2020-08-20,20,8,2020,812,16,United_Kingdom,UK,GBR,66647112,Europe,20.87712368,1.21836E-05,-370,10,Social Distancing and Wearing Masks Enforced,92,904,388
2020-08-19,19,8,2020,1089,12,United_Kingdom,UK,GBR,66647112,Europe,20.99565845,1.63398E-05,277,-4,Social Distancing and Wearing Masks Enforced,140,1229,461
2020-08-18,18,8,2020,713,3,United_Kingdom,UK,GBR,66647112,Europe,20.36697404,1.06981E-05,-376,-9,Social Distancing and Wearing Masks Enforced,38,751,707
2020-08-17,17,8,2020,1040,5,United_Kingdom,UK,GBR,66647112,Europe,20.68956866,1.56046E-05,327,2,Social Distancing and Wearing Masks Enforced,78,1118,722
2020-08-16,16,8,2020,1077,3,United_Kingdom,UK,GBR,66647112,Europe,20.24393795,1.61597E-05,37,-2,Social Distancing and Wearing Masks Enforced,59,1136,758
2020-08-15,15,8,2020,1440,11,United_Kingdom,UK,GBR,66647112,Europe,19.78480328,2.16063E-05,363,8,Social Distancing and Wearing Masks Enforced,-35,1405,780
2020-08-14,14,8,2020,1129,18,United_Kingdom,UK,GBR,66647112,Europe,18.94455682,1.694E-05,-311,7,Social Distancing and Wearing Masks Enforced,-96,1033,473
2020-08-13,13,8,2020,1009,20,United_Kingdom,UK,GBR,66647112,Europe,18.51993227,1.51394E-05,-120,2,Social Distancing and Wearing Masks Enforced,-81,928,300
2020-08-12,12,8,2020,1148,13,United_Kingdom,UK,GBR,66647112,Europe,18.150824,1.72251E-05,139,-7,Social Distancing and Wearing Masks Enforced,-80,1068,563
2020-08-11,11,8,2020,816,18,United_Kingdom,UK,GBR,66647112,Europe,16.53334956,1.22436E-05,-332,5,Social Distancing and Wearing Masks Enforced,29,845,742
2020-08-10,10,8,2020,1062,5,United_Kingdom,UK,GBR,66647112,Europe,15.86565371,1.59347E-05,246,-13,Social Distancing and Wearing Masks Enforced,-60,1002,798
2020-08-09,9,8,2020,758,3,United_Kingdom,UK,GBR,66647112,Europe,14.9038716,1.13733E-05,-304,-2,Social Distancing and Wearing Masks Enforced,48,806,636
2020-08-08,8,8,2020,871,12,United_Kingdom,UK,GBR,66647112,Europe,14.76733155,1.30688E-05,113,9,Social Distancing and Wearing Masks Enforced,37,908,532
2020-08-07,7,8,2020,950,18,United_Kingdom,UK,GBR,66647112,Europe,14.55726994,1.42542E-05,79,6,Social Distancing and Wearing Masks Enforced,212,1162,299
2020-08-06,6,8,2020,891,14,United_Kingdom,UK,GBR,66647112,Europe,14.29169204,1.33689E-05,-59,-4,Social Distancing and Wearing Masks Enforced,-120,771,261
2020-08-05,5,8,2020,670,18,United_Kingdom,UK,GBR,66647112,Europe,14.08163042,1.00529E-05,-221,4,Social Distancing and Wearing Masks Enforced,18,688,477
2020-08-04,4,8,2020,928,1,United_Kingdom,UK,GBR,66647112,Europe,14.26618456,1.39241E-05,258,-17,Social Distancing and Wearing Masks Enforced,90,1018,657
2020-08-03,3,8,2020,743,5,United_Kingdom,UK,GBR,66647112,Europe,13.4934579,1.11483E-05,-185,4,Social Distancing and Wearing Masks Enforced,37,780,745
2020-08-02,2,8,2020,771,13,United_Kingdom,UK,GBR,66647112,Europe,13.11834787,1.15684E-05,28,8,Social Distancing and Wearing Masks Enforced,-19,752,784
2020-08-01,1,8,2020,880,20,United_Kingdom,UK,GBR,66647112,Europe,12.81525897,1.32039E-05,109,7,Social Distancing and Wearing Masks Enforced,21,901,700
2020-07-31,31,7,2020,846,0,United_Kingdom,UK,GBR,66647112,Europe,12.55118151,1.26937E-05,-34,-20,Social Distancing and Wearing Masks Enforced,76,922,509
2020-07-30,30,7,2020,763,34,United_Kingdom,UK,GBR,66647112,Europe,12.44014894,1.14484E-05,-83,34,Social Distancing and Wearing Masks Enforced,389,1152,279
2020-07-29,29,7,2020,70,21,United_Kingdom,UK,GBR,66647112,Europe,12.32311462,1.05031E-06,-693,-13,Social Distancing and Wearing Masks Enforced,-19,51,455
2020-07-28,28,7,2020,371,3,United_Kingdom,UK,GBR,66647112,Europe,13.30740333,5.56663E-06,301,-18,Social Distancing and Wearing Masks Enforced,-158,213,754
2020-07-27,27,7,2020,421,8,United_Kingdom,UK,GBR,66647112,Europe,13.29239893,6.31685E-06,50,5,Social Distancing and Wearing Masks Enforced,-24,397,698
2020-07-26,26,7,2020,667,15,United_Kingdom,UK,GBR,66647112,Europe,13.32390817,1.00079E-05,246,7,Social Distancing and Wearing Masks Enforced,-47,620,657
2020-07-25,25,7,2020,731,32,United_Kingdom,UK,GBR,66647112,Europe,13.17086328,1.09682E-05,64,17,Social Distancing and Wearing Masks Enforced,312,1043,688
2020-07-24,24,7,2020,773,9,United_Kingdom,UK,GBR,66647112,Europe,13.14685624,1.15984E-05,42,-23,Social Distancing and Wearing Masks Enforced,114,887,358
2020-07-23,23,7,2020,751,17,United_Kingdom,UK,GBR,66647112,Europe,13.02682103,1.12683E-05,-22,8,Social Distancing and Wearing Masks Enforced,-44,707,259
2020-07-22,22,7,2020,793,25,United_Kingdom,UK,GBR,66647112,Europe,12.79575325,1.18985E-05,42,8,Social Distancing and Wearing Masks Enforced,-202,591,430
2020-07-21,21,7,2020,413,10,United_Kingdom,UK,GBR,66647112,Europe,12.66221408,6.19682E-06,-380,-15,Social Distancing and Wearing Masks Enforced,22,435,666
2020-07-20,20,7,2020,493,11,United_Kingdom,UK,GBR,66647112,Europe,12.87527658,7.39717E-06,80,1,Social Distancing and Wearing Masks Enforced,-138,355,808
2020-07-19,19,7,2020,569,9,United_Kingdom,UK,GBR,66647112,Europe,12.73723609,8.5375E-06,76,-2,Social Distancing and Wearing Masks Enforced,9,578,610
2020-07-18,18,7,2020,704,26,United_Kingdom,UK,GBR,66647112,Europe,12.75224049,1.05631E-05,135,17,Social Distancing and Wearing Masks Enforced,35,739,532
2020-07-17,17,7,2020,772,24,United_Kingdom,UK,GBR,66647112,Europe,12.5991956,1.15834E-05,68,-2,Social Distancing and Wearing Masks Enforced,64,836,403
2020-07-16,16,7,2020,685,26,United_Kingdom,UK,GBR,66647112,Europe,12.41764234,1.0278E-05,-87,2,Social Distancing and Wearing Masks Enforced,-61,624,210
2020-07-15,15,7,2020,726,44,United_Kingdom,UK,GBR,66647112,Europe,12.31561242,1.08932E-05,41,18,Social Distancing and Wearing Masks Enforced,267,993,491
2020-07-14,14,7,2020,361,10,United_Kingdom,UK,GBR,66647112,Europe,12.32161418,5.41659E-06,-365,-34,Social Distancing and Wearing Masks Enforced,-42,319,746
2020-07-13,13,7,2020,442,9,United_Kingdom,UK,GBR,66647112,Europe,12.44915159,6.63195E-06,81,-1,Social Distancing and Wearing Masks Enforced,42,484,800
2020-07-12,12,7,2020,565,17,United_Kingdom,UK,GBR,66647112,Europe,12.75974269,8.47749E-06,123,8,Social Distancing and Wearing Masks Enforced,45,610,774
2020-07-11,11,7,2020,715,34,United_Kingdom,UK,GBR,66647112,Europe,12.91878934,1.07281E-05,150,17,Social Distancing and Wearing Masks Enforced,-419,296,773
2020-07-10,10,7,2020,693,31,United_Kingdom,UK,GBR,66647112,Europe,12.92779198,1.0398E-05,-22,-3,Social Distancing and Wearing Masks Enforced,3,696,432
2020-07-09,9,7,2020,597,57,United_Kingdom,UK,GBR,66647112,Europe,13.05532939,8.95763E-06,-96,26,Social Distancing and Wearing Masks Enforced,-366,231,265
2020-07-08,8,7,2020,704,54,United_Kingdom,UK,GBR,66647112,Europe,13.48895658,1.05631E-05,107,-3,Social Distancing and Wearing Masks Enforced,-318,386,648
2020-07-07,7,7,2020,555,11,United_Kingdom,UK,GBR,66647112,Europe,13.77704108,8.32744E-06,-149,-43,Social Distancing and Wearing Masks Enforced,-103,452,900
2020-07-06,6,7,2020,401,19,United_Kingdom,UK,GBR,66647112,Europe,13.90307805,6.01676E-06,-154,8,Social Distancing and Wearing Masks Enforced,71,472,1046
2020-07-05,5,7,2020,579,32,United_Kingdom,UK,GBR,66647112,Europe,14.33220392,8.68755E-06,178,13,Social Distancing and Wearing Masks Enforced,77,656,1039
2020-07-04,4,7,2020,602,49,United_Kingdom,UK,GBR,66647112,Europe,14.94288305,9.03265E-06,23,17,Social Distancing and Wearing Masks Enforced,36,638,1146
2020-07-03,3,7,2020,651,41,United_Kingdom,UK,GBR,66647112,Europe,15.58057009,9.76787E-06,49,-8,Social Distancing and Wearing Masks Enforced,524,1175,780
2020-07-02,2,7,2020,617,97,United_Kingdom,UK,GBR,66647112,Europe,16.12372941,9.25772E-06,-34,56,Social Distancing and Wearing Masks Enforced,299,916,462
2020-07-01,1,7,2020,730,53,United_Kingdom,UK,GBR,66647112,Europe,16.85144287,1.09532E-05,113,-44,Social Distancing and Wearing Masks Enforced,260,990,677
2020-06-30,30,6,2020,446,21,United_Kingdom,UK,GBR,66647112,Europe,17.32108062,6.69196E-06,-284,-32,Social Distancing and Wearing Masks Enforced,16,462,937
